"","TypeI","Type2a","Type2a2x","colMax","ID","Filename","Type","Exercise","Laminin","Area","Sample","FibreType"
"163",10.5736842105263,641.881578947368,90.5842105263158,641.881578947368,342,"DS1","FT"," Pre",310,2923.1732776618,"P2","Type2a"
"164",10.5736842105263,668.881578947368,111.584210526316,668.881578947368,511,"DS1","FT"," Pre",320,4263.98747390397,"P2","Type2a"
"165",10.5736842105263,675.881578947368,126.584210526316,675.881578947368,423,"DS1","FT"," Pre",300,2925.26096033403,"P2","Type2a"
"166",10.5736842105263,747.881578947368,114.584210526316,747.881578947368,72,"DS1","FT"," Pre",329,3515.97077244259,"P2","Type2a"
"167",10.5736842105263,789.881578947368,109.584210526316,789.881578947368,551,"DS1","FT"," Pre",328,4067.53653444676,"P2","Type2a"
"168",10.5736842105263,846.881578947368,96.5842105263158,846.881578947368,89,"DS1","FT"," Pre",439,3818.37160751566,"P2","Type2a"
"169",10.5736842105263,855.881578947368,88.5842105263158,855.881578947368,94,"DS1","FT"," Pre",405,4786.53444676409,"P2","Type2a"
"170",10.5736842105263,858.881578947368,168.584210526316,858.881578947368,389,"DS1","FT"," Pre",370,8005.74112734864,"P2","Type2a"
"171",10.5736842105263,869.881578947368,127.584210526316,869.881578947368,210,"DS1","FT"," Pre",320,4758.0375782881,"P2","Type2a"
"172",10.5882352941176,218.856470588235,722.178823529412,722.178823529412,335,"PL4","FT","Post",308,3628.39248434238,"P4","Type2a2x"
"173",10.5882352941176,270.856470588235,713.178823529412,713.178823529412,324,"PL4","FT","Post",307,3648.01670146138,"P4","Type2a2x"
"174",10.5882352941176,283.856470588235,705.178823529412,705.178823529412,265,"PL4","FT","Post",301,3114.50939457203,"P4","Type2a2x"
"175",10.5882352941176,610.856470588235,190.178823529412,610.856470588235,659,"PL4","FT","Post",259,2382.56784968685,"P4","Type2a"
"176",10.5882352941176,839.856470588235,187.178823529412,839.856470588235,295,"PL4","FT","Post",335,4891.64926931106,"P4","Type2a"
"177",10.8346456692913,1007.29921259843,144.866141732283,1007.29921259843,1088,"AB4","FT","Post",287,9262.10855949896,"P3","Type2a"
"178",10.8346456692913,1164.29921259843,198.866141732283,1164.29921259843,1085,"AB4","FT","Post",301,9243.7369519833,"P3","Type2a"
"179",10.8346456692913,1621.29921259843,92.8661417322835,1621.29921259843,183,"AB4","FT","Post",263,5232.04592901879,"P3","Type2a"
"180",10.8346456692913,478.299212598425,308.866141732283,478.299212598425,288,"AB4","FT","Post",363,7730.68893528184,"P3","Type2a"
"181",10.8346456692913,972.299212598425,381.866141732283,972.299212598425,1,"AB4","FT","Post",297,5983.82045929019,"P3","Type2a"
"182",10.8897435897436,164.038461538462,109.361538461538,164.038461538462,237,"M1180-16","FT"," Pre",387,1062.5260960334,"C1","Type2a"
"183",10.8897435897436,181.038461538462,745.361538461538,745.361538461538,551,"M1180-16","FT"," Pre",243,2728.28810020877,"C1","Type2a2x"
"184",10.8897435897436,20.0384615384615,69.3615384615385,69.3615384615385,679,"M1180-16","FT"," Pre",232,1386.84759916493,"C1","Type2a2x"
"185",10.8897435897436,216.038461538462,559.361538461538,559.361538461538,928,"M1180-16","FT"," Pre",339,10270.0417536534,"C1","Type2a2x"
"186",10.8897435897436,218.038461538462,705.361538461538,705.361538461538,496,"M1180-16","FT"," Pre",290,3930.79331941545,"C1","Type2a2x"
"187",10.8897435897436,479.038461538462,347.361538461538,479.038461538462,408,"M1180-16","FT"," Pre",315,3216.80584551148,"C1","Type2a"
"188",10.9482352941176,107.327058823529,496.927058823529,496.927058823529,746,"M1212-16","FT"," Pre",454,1540.08350730689,"C3","Type2a2x"
"189",10.9482352941176,147.327058823529,748.927058823529,748.927058823529,506,"M1212-16","FT"," Pre",310,3507.72442588727,"C3","Type2a2x"
"190",10.9482352941176,159.327058823529,852.927058823529,852.927058823529,388,"M1212-16","FT"," Pre",384,3689.97912317328,"C3","Type2a2x"
"191",10.9482352941176,212.327058823529,980.927058823529,980.927058823529,1273,"M1212-16","FT"," Pre",313,3084.75991649269,"C3","Type2a2x"
"192",10.9482352941176,286.327058823529,97.9270588235294,286.327058823529,299,"M1212-16","FT"," Pre",284,4189.66597077244,"C3","Type2a"
"193",10.9482352941176,326.327058823529,577.927058823529,577.927058823529,357,"M1212-16","FT"," Pre",294,3731.94154488518,"C3","Type2a2x"
"194",10.9482352941176,344.327058823529,814.927058823529,814.927058823529,270,"M1212-16","FT"," Pre",217,4087.57828810021,"C3","Type2a2x"
"195",10.9482352941176,447.327058823529,484.927058823529,484.927058823529,495,"M1212-16","FT"," Pre",492,6397.07724425887,"C3","Type2a2x"
"196",10.9482352941176,87.3270588235294,626.927058823529,626.927058823529,15,"M1212-16","FT"," Pre",318,1903.5490605428,"C3","Type2a2x"
"197",10.9482352941176,90.3270588235294,539.927058823529,539.927058823529,763,"M1212-16","FT"," Pre",452,1763.04801670146,"C3","Type2a2x"
"198",100.092511013216,488.330396475771,363.149779735683,488.330396475771,24,"PJ1","FT"," Pre",406,1810.85594989562,"P5","Type2a"
"199",100.948235294118,20.3270588235294,138.927058823529,138.927058823529,423,"M1212-16","FT"," Pre",238,1933.50730688935,"C3","Type2a2x"
"200",100.948235294118,366.327058823529,891.927058823529,891.927058823529,725,"M1212-16","FT"," Pre",352,4179.95824634655,"C3","Type2a2x"
